download_url,uri_onto,format_file,format_parse,ner_prediction
org.ttl,https://www.w3.org/ns/org,Turtle,turtle,Organization

http://xmlns.com/foaf/spec/index.rdf,http://xmlns.com/foaf/0.1/Person,RDF/XML,xml,Person

dublin_core_terms.ttl,http://purl.org/dc/terms/Location,Turtle,turtle,Location

https://www.w3.org/2006/time,https://www.w3.org/2006/time,Turtle,turtle,Time

http://data.europa.eu/eli/ontology#LegalResource,http://data.europa.eu/eli/ontology,RDF/XML,xml,LegalResource

cube.ttl,http://purl.org/linked-data/cube,Turtle,turtle,MeasureProperty

schema.ttl,http://schema.org/,Turtle,turtle,CreativeWork

schema.ttl,http://schema.org/,Turtle,turtle,Event

schema.ttl,http://schema.org/,Turtle,turtle,Product

https://www.w3.org/2003/01/geo/wgs84_pos#,https://www.w3.org/2003/01/geo/wgs84_pos,RDF/XML,xml,SpatialThing
